index,S:all,I1:all,I2:all,R1:all,R2:all,S1:all,S2:all,I12:all,I21:all,beta:all,psi:all,i:all,gamma:all,alpha:all,e:all,d:all,sto:all,rep:MadeiraMildCases__ecdc__inc,rep:MadeiraSevereCases__ecdc__inc,phi:all,log_like
43,0.951853,2.48356e-09,0.000335466,6.77315e-07,0.0325883,2.36218e-08,0.00286789,0,0,7.84379,1.82742,4.70022e-14,3.19124,295.134,0.407813,-0.773162,0.1,0.997761,0.964462,0.1,215.099
44,0.951853,2.48356e-09,0.000335466,6.77315e-07,0.0325883,2.36218e-08,0.00286789,0,0,7.84379,1.82742,4.70022e-14,3.19124,295.134,0.407813,-0.773162,0.1,0.997761,0.964462,0.1,215.099
45,0.951853,2.48356e-09,0.000335466,6.77315e-07,0.0325883,2.36218e-08,0.00286789,0,0,7.84379,1.82742,4.70022e-14,3.19124,295.134,0.407813,-0.773162,0.1,0.997761,0.964462,0.1,215.099
46,0.951095,3.40887e-09,0.000285211,1.02197e-06,0.0365405,9.03935e-08,0.00161904,0,0,9.4578,1.78176,8.98207e-14,2.79473,345.194,0.259043,-0.752115,0.1,0.997006,0.95258,0.1,210.208
47,0.954345,3.72391e-09,0.000291291,1.5805e-06,0.0163928,5.06583e-08,0.00232091,0,0,8.02137,1.85218,1.42895e-13,3.1011,353.141,0.319495,-0.76729,0.1,0.997143,0.977841,0.1,208.418
48,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
49,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
50,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
51,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
52,0.955427,3.54255e-09,0.00047115,1.3236e-06,0.012671,4.22716e-08,0.00445785,0,0,7.64481,1.91912,7.90607e-14,3.15611,267.493,0.396057,-0.770165,0.1,0.994172,0.961755,0.1,209.488
