index,time,S:Madeira__all,I1:Madeira__all,I2:Madeira__all,R1:Madeira__all,R2:Madeira__all,S1:Madeira__all,S2:Madeira__all,I12:Madeira__all,I21:Madeira__all,R:Madeira__all,obs_mean:MadeiraMildCases__ecdc__inc,obs_mean:MadeiraSevereCases__ecdc__inc,obs_real:MadeiraMildCases__ecdc__inc,obs_real:MadeiraSevereCases__ecdc__inc
18,70,253369,0,29.4414,0.169866,7569.84,0.05673,3237.85,1.95505e-06,0,3095.58,105.526,7.05285e-06,82.5729,0.000808177
18,77,253324,0,16.2333,0.164003,7441.79,0.0608533,3429.38,1.82959e-06,0,3089.93,56.8622,6.56882e-06,59.9943,0.00324032
18,84,253285,0,15.6196,0.158777,7300.1,0.0648666,3616.81,2.36997e-06,0,3084.01,51.7785,8.02969e-06,43.7054,0.0026919
18,91,253281,0,6.40337,0.154204,7135.46,0.0688241,3800.04,1.07819e-06,0,3078.38,23.9018,4.40329e-06,20.9305,0
18,98,253296,6.72083e-08,2.33601,0.149896,6952.37,0.0726864,3978.32,5.16786e-07,7.79499e-10,3072.76,8.96256,2.22322e-06,10.3192,0.000598288
18,105,253312,2.06999e-07,2.24317,0.145732,6769.22,0.0764358,4151.41,5.12342e-07,2.38777e-09,3067.08,7.81281,1.97009e-06,7.59155,0.00174157
18,112,253326,4.61906e-07,2.84047,0.141688,6592.55,0.0800712,4319.43,6.30826e-07,5.22566e-09,3061.32,9.64481,2.30892e-06,12.0504,0.00272205
18,119,253345,3.02649e-07,1.31014,0.137758,6417.04,0.0835967,4482.57,3.18098e-07,3.90877e-09,3055.69,4.86312,1.32679e-06,4.16043,0.000746832
18,126,253370,6.67246e-09,0,0.133937,6240.38,0.0870155,4640.8,1.19134e-08,7.25312e-10,3050.11,0.0491756,1.45374e-07,0.0184986,0.000800403
18,132,253392,4.04868e-08,0,0.130746,6091.7,0.0898622,4772.52,5.14132e-10,7.82912e-10,3045.36,1.61258e-11,2.0984e-09,0.00721768,0.000432183
18,139,253417,4.05463e-08,3.3589e-08,0.127119,5922.71,0.093088,4921.75,5.2335e-12,8.03447e-10,3039.82,2.17554e-07,2.7174e-09,0,0.00710518
18,147,253446,3.60343e-08,3.56424e-08,0.123097,5735.32,0.0966526,5086.62,0,7.41871e-10,3033.5,2.50798e-07,2.89396e-09,0,0.00834762
18,154,253472,3.32059e-08,3.31493e-08,0.119682,5576.21,0.0996678,5226.04,3.21664e-14,6.96058e-10,3027.99,2.02733e-07,2.36201e-09,0.00016096,0.000165638
18,161,253497,3.09351e-08,3.09161e-08,0.116362,5421.52,0.102589,5361.09,0,6.64712e-10,3022.48,1.88295e-07,2.24555e-09,0,0.00126338
18,168,253522,2.93679e-08,2.93515e-08,0.113134,5271.13,0.105419,5491.88,3.51782e-14,6.45277e-10,3016.99,1.77926e-07,2.17171e-09,0,0.00684335
18,175,253547,2.84814e-08,2.84663e-08,0.109996,5124.9,0.10816,5618.53,0,6.40115e-10,3011.5,1.71668e-07,2.14304e-09,0.00488079,0.00107002
18,182,253572,2.82497e-08,2.82346e-08,0.106945,4982.73,0.110815,5741.17,3.46889e-14,6.48402e-10,3006.02,1.69366e-07,2.16095e-09,0,0.000602516
18,189,253597,2.8663e-08,2.86473e-08,0.103978,4844.51,0.113385,5859.89,0,6.72223e-10,3000.56,1.70935e-07,2.22766e-09,0.00213797,0.00133698
18,196,253622,2.97268e-08,2.97097e-08,0.101094,4710.12,0.115875,5974.82,3.82589e-14,7.10837e-10,2995.1,1.76381e-07,2.34658e-09,0,0.00241362
18,203,253647,3.14622e-08,3.14429e-08,0.0982893,4579.45,0.118285,6086.05,0,7.68797e-10,2989.66,1.85803e-07,2.52238e-09,0.000378691,0
18,210,253671,3.39051e-08,3.38825e-08,0.0955628,4452.41,0.120617,6193.7,4.38515e-14,8.43335e-10,2984.22,1.99385e-07,2.76117e-09,0.00664714,0.0011542
18,217,253696,3.71031e-08,3.70759e-08,0.092912,4328.9,0.122875,6297.85,0,9.43796e-10,2978.79,2.17377e-07,3.07041e-09,0.00710096,0
